ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
506,112,-12,-4,-1,160,10,80,20,800,400,20,12,30
494,108,-12,-4,0,140,10,80,20,800,400,20,12,30
494,108,-12,-4,-1,140,10,80,20,800,400,20,12,30
482,104,-12,-4,0,120,10,80,20,800,400,20,12,30
482,104,-12,-4,-1,120,10,80,20,800,400,20,12,30
470,100,-12,-4,0,100,10,80,20,800,400,20,12,30
470,100,-12,-4,-1,100,10,80,20,800,400,20,12,30
458,96,-12,-4,0,80,10,80,20,800,400,20,12,30
458,96,-12,-4,1,80,10,80,20,800,400,20,12,30
446,92,-12,-4,0,100,10,80,20,800,400,20,12,30
446,92,-12,-4,-1,100,10,80,20,800,400,20,12,30
434,88,-12,-4,0,80,10,80,20,800,400,20,12,30
434,88,-12,-4,1,80,10,80,20,800,400,20,12,30
422,84,-12,-4,0,100,10,80,20,800,400,20,12,30
422,84,-12,-4,-1,100,10,80,20,800,400,20,12,30
410,80,-12,-4,0,80,10,80,20,800,400,20,12,30
410,80,-12,-4,-1,80,10,80,20,800,400,20,12,30
398,76,-12,-4,0,60,10,80,20,800,400,20,12,30
398,76,-12,-4,1,60,10,80,20,800,400,20,12,30
386,72,-12,-4,0,80,10,80,20,800,400,20,12,30
386,72,-12,-4,-1,80,10,80,20,800,400,20,12,30
374,68,-12,-4,0,60,10,80,20,800,400,20,12,30
374,68,-12,-4,1,60,10,80,20,800,400,20,12,30
362,64,-12,-4,0,80,10,80,20,800,400,20,12,30
362,64,-12,-4,-1,80,10,80,20,800,400,20,12,30
350,60,-12,-4,0,60,10,80,20,800,400,20,12,30
350,60,-12,-4,1,60,10,80,20,800,400,20,12,30
338,56,-12,-4,0,80,10,80,20,800,400,20,12,30
338,56,-12,-4,1,80,10,80,20,800,400,20,12,30
326,52,-12,-4,0,100,10,80,20,800,400,20,12,30
326,52,-12,-4,1,100,10,80,20,800,400,20,12,30
314,48,-12,-4,0,120,10,80,20,800,400,20,12,30
314,48,-12,-4,-1,120,10,80,20,800,400,20,12,30
302,44,-12,-4,0,100,10,80,20,800,400,20,12,30
302,44,-12,-4,1,100,10,80,20,800,400,20,12,30
290,40,-12,-4,0,120,10,80,20,800,400,20,12,30
290,40,-12,-4,1,120,10,80,20,800,400,20,12,30
278,36,-12,-4,0,140,10,80,20,800,400,20,12,30
278,36,-12,-4,-1,140,10,80,20,800,400,20,12,30
266,32,-12,-4,0,120,10,80,20,800,400,20,12,30
266,32,-12,-4,1,120,10,80,20,800,400,20,12,30
254,36,-12,4,0,140,10,80,20,800,400,20,12,30
254,36,-12,4,-1,140,10,80,20,800,400,20,12,30
242,40,-12,4,0,120,10,80,20,800,400,20,12,30
242,40,-12,4,1,120,10,80,20,800,400,20,12,30
230,44,-12,4,0,140,10,80,20,800,400,20,12,30
230,44,-12,4,-1,140,10,80,20,800,400,20,12,30
218,48,-12,4,0,120,10,80,20,800,400,20,12,30
218,48,-12,4,1,120,10,80,20,800,400,20,12,30
206,52,-12,4,0,140,10,80,20,800,400,20,12,30
206,52,-12,4,-1,140,10,80,20,800,400,20,12,30
194,56,-12,4,0,120,10,80,20,800,400,20,12,30
194,56,-12,4,1,120,10,80,20,800,400,20,12,30
182,60,-12,4,0,140,10,80,20,800,400,20,12,30
182,60,-12,4,-1,140,10,80,20,800,400,20,12,30
170,64,-12,4,0,120,10,80,20,800,400,20,12,30
170,64,-12,4,1,120,10,80,20,800,400,20,12,30
158,68,-12,4,0,140,10,80,20,800,400,20,12,30
158,68,-12,4,-1,140,10,80,20,800,400,20,12,30
146,72,-12,4,0,120,10,80,20,800,400,20,12,30
146,72,-12,4,1,120,10,80,20,800,400,20,12,30
134,76,-12,4,0,140,10,80,20,800,400,20,12,30
134,76,-12,4,-1,140,10,80,20,800,400,20,12,30
122,80,-12,4,0,120,10,80,20,800,400,20,12,30
122,80,-12,4,1,120,10,80,20,800,400,20,12,30
110,84,-12,4,0,140,10,80,20,800,400,20,12,30
110,84,-12,4,-1,140,10,80,20,800,400,20,12,30
98,88,-12,4,0,120,10,80,20,800,400,20,12,30
98,88,-12,4,1,120,10,80,20,800,400,20,12,30
86,92,-12,4,0,140,10,80,20,800,400,20,12,30
86,92,-12,4,-1,140,10,80,20,800,400,20,12,30
74,96,-12,4,0,120,10,80,20,800,400,20,12,30
74,96,-12,4,1,120,10,80,20,800,400,20,12,30
62,100,-12,4,0,140,10,80,20,800,400,20,12,30
62,100,-12,4,1,140,10,80,20,800,400,20,12,30
50,104,-12,4,0,160,10,80,20,800,400,20,12,30
50,104,-12,4,-1,160,10,80,20,800,400,20,12,30
38,108,-12,4,0,140,10,80,20,800,400,20,12,30
38,108,-12,4,1,140,10,80,20,800,400,20,12,30
